Sentence,Entity,Label
Bill Gates is the founder of Microsoft.,Bill Gates,PERSON
Bill Gates is the founder of Microsoft.,Microsoft,ORG
"Microsoft is headquartered in Redmond, Washington.",Microsoft,ORG
"Microsoft is headquartered in Redmond, Washington.",Redmond,GPE
"Microsoft is headquartered in Redmond, Washington.",Washington,GPE
Satya Nadella is the CEO of Microsoft.,Satya Nadella,PERSON
Satya Nadella is the CEO of Microsoft.,Microsoft,ORG
Google was founded by Larry Page and Sergey Brin.,Google,ORG
Google was founded by Larry Page and Sergey Brin.,Larry Page,PERSON
Google was founded by Larry Page and Sergey Brin.,Sergey Brin,PERSON
"Google's headquarters is located in Mountain View, California.",Google,ORG
"Google's headquarters is located in Mountain View, California.",Mountain View,GPE
"Google's headquarters is located in Mountain View, California.",California,GPE
Sundar Pichai is the CEO of Google.,Sundar Pichai,PERSON
Sundar Pichai is the CEO of Google.,Google,ORG
"Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Apple,ORG
"Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Steve Jobs,PERSON
"Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Steve Wozniak,PERSON
"Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Ronald Wayne,PERSON
Tim Cook is the CEO of Apple.,Tim Cook,PERSON
Tim Cook is the CEO of Apple.,Apple,ORG
Elon Musk is the CEO of Tesla.,Elon Musk,PERSON
Elon Musk is the CEO of Tesla.,Tesla,ORG
Tesla manufactures electric vehicles.,Tesla,ORG
SpaceX was founded by Elon Musk.,Elon Musk,PERSON
"The headquarters of SpaceX is in Hawthorne, California.",Hawthorne,GPE
"The headquarters of SpaceX is in Hawthorne, California.",California,GPE
Mark Zuckerberg is the CEO of Facebook.,Mark Zuckerberg,PERSON
Mark Zuckerberg is the CEO of Facebook.,Facebook,ORG
"Facebook is headquartered in Menlo Park, California.",Menlo Park,GPE
"Facebook is headquartered in Menlo Park, California.",California,GPE
Jeff Bezos is the founder of Amazon.,Jeff Bezos,PERSON
Jeff Bezos is the founder of Amazon.,Amazon,ORG
"Amazon is headquartered in Seattle, Washington.",Amazon,ORG
"Amazon is headquartered in Seattle, Washington.",Seattle,GPE
"Amazon is headquartered in Seattle, Washington.",Washington,GPE
Warren Buffett is the CEO of Berkshire Hathaway.,Warren Buffett,PERSON
Warren Buffett is the CEO of Berkshire Hathaway.,Berkshire Hathaway,FAC
"Berkshire Hathaway is headquartered in Omaha, Nebraska.",Hathaway,PERSON
